#PASSAGE	REFQ	GENQ	FLUENCY	RELEVANT	ANSWERABLE	SIMILAR
only four episodes have ever had their premiere showings on channels other than bbc one . the 1983 20th anniversary special the five doctors had its début on 23 november ( the actual date of the anniversary ) on a number of pbs stations two days prior to its bbc one broadcast . the 1988 story silver nemesis was broadcast with all three episodes airing back to back on tvnz in new zealand in november , after the first episode had been shown in the uk but before the final two instalments had aired there . finally , the 1996 television film premièred on 12 may 1996 on citv in  edmonton , canada   , 15 days before the bbc one showing , and two days before it aired on fox in the united states . [ citation needed ]	in what area did the 1996 television film premier ?	where did ' doctor who ' premiere in 1996 ?	1.0	1.0	1.0	0.5
john schmitt and ben zipperer ( 2006 ) of the cepr point to economic liberalism and the reduction of business regulation along with the decline of union membership as one of the causes of economic inequality . in an analysis of the effects of intensive anglo-american liberal policies in comparison to continental european liberalism , where unions have remained strong , they concluded " the u.s. economic and social model is associated with substantial levels of social exclusion , including high levels of income inequality , high relative and absolute poverty rates , poor and unequal educational outcomes , poor health outcomes , and high rates of crime and incarceration . at the same time , the available evidence provides little support for the view that u.s.-style labor-market flexibility dramatically improves labor-market outcomes . despite popular prejudices to the contrary , the u.s. economy consistently affords a lower level of economic mobility than all the  continental european countries   for which data is available . "	which set of countries have higher economic mobility than the united states ?	what type of liberalism has unions remained strong in the united states ?	0.8333333333333334	1.0	0.3333333333333333	0.16666666666666666
kenya has been a dominant force in women 's volleyball within africa , with both the clubs and the national team winning various continental championships in the past decade . [ citation needed ] the women 's team has competed at the olympics and world championships but without any notable success . cricket is another popular and the most successful team sport . kenya has competed in the cricket world cup since 1996. they upset some of the world 's best teams and reached semi-finals of the 2003 tournament . they won the inaugural world cricket league division 1 hosted in nairobi and participated in the world t20 . their current captain is rakep patel . they participated in the icc cricket world cup 2011. kenya is represented by lucas onyango as a professional rugby league player who plays with oldham roughyeds . besides the former european super league team , he has played for widnes vikings and rugby union with sale sharks . rugby union is increasing in popularity , especially with the annual safari sevens tournament . kenya sevens team ranked 9th in irb sevens world series for the 2006 season . kenya was also a regional powerhouse in soccer . however , its dominance has been eroded by wrangles within the now defunct kenya football federation , leading to a suspension by fifa which was lifted in  march 2007   .	when was the suspension by fifa lifted ?	when did fifa lift the suspension on the kenya football federation ?	1.0	1.0	1.0	0.5
local pastors are called by god , affirmed by the church , and appointed by a bishop to a ministry of word , sacrament , order and service within the church . the local pastor are given the authority to preach the word of god , administer the sacraments of the church , to provide care and counseling , and to order the life of the church for ministry and mission , but are not ordained . when elders are not available to be appointed to a local church , either through shortage of personnel or financial hardship of a pastoral charge , the bishop may appoint a " local pastor " to serve the pastoral appointment . local pastors are often bi-vocational , living out their ministerial call in the local church and in their field of employment . full-time and part-time licensed local pastors under appointment are clergy and hold membership in the annual conference and not in the local church . a local pastor 's official title is 'licensed local pastor ' and is appointed as clergy to the local church where they preach , conduct divine worship and perform the regular duties of a pastor . the licensed local pastor has the authority of a pastor only within the context and during the time of the appointment and shall not extend beyond it . local pastors are not required to have advanced degrees but are required to attend licensing school and attend and pass an approved  five-year   course of study at an approved united methodist seminary or course of study school , successfully complete written and oral examinations , and appear before the district committee on ministry and the conference board of ordained ministry . they may continue towards associate membership allowing them to retire as clergy . they also may continue towards ordination if they complete their bachelor 's degree , requirements of their particular conference board of ordained ministry , as well as an advanced course or study or prescribed seminary courses at an approved seminary . upon retirement , local pastors return to their charge conference as lay members .	how many years must a local pastor attend a course of study at united methodist approved seminary ?	how long are local pastors required to attend licensed united methodist seminary ?	1.0	1.0	1.0	0.6666666666666666
from newcastle international ferry terminal , at north shields , danish dfds seaways run a service to ijmuiden ( near amsterdam ) . the dfds ferry service to gothenburg , sweden , ceased at the end of october 2006 – the company cited high fuel prices and new competition from low-cost air services as the cause – and their service to bergen and stavanger , norway was terminated  late 2008.   since summer 2007 , thomson cruise lines have included newcastle as a departure port on its norwegian and fjords cruise .	when did dfds terminate its services to norway ?	when was the dfds service to bergen and stavanger terminated ?	1.0	1.0	1.0	0.3333333333333333
the show has received recognition as one of britain 's finest television programmes , winning the 2006 british academy television award for best drama series and five consecutive ( 2005–2010 ) awards at the national television awards during russell t davies ' tenure as executive producer . in 2011 , matt smith became the first doctor to be nominated for a bafta television award for best actor and in 2016 ,  michelle gomez   became the first female to receive a bafta nomination for the series , getting a best supporting actress nomination for her work as missy .	what doctor who actress was nominated for an award in 2016 ?	who was the first female to receive a bafta nomination for her role as missy ?	1.0	1.0	1.0	0.16666666666666666
in february 2010 , in response to controversies regarding claims in the fourth assessment report , five climate scientists – all contributing or lead ipcc report authors – wrote in the journal nature calling for changes to the ipcc . they suggested a range of new organizational options , from tightening the selection of lead authors and contributors , to dumping it in favor of a small permanent body , or even  turning the whole climate science assessment process into a moderated " living " wikipedia-ipcc   . other recommendations included that the panel employ a full-time staff and remove government oversight from its processes to avoid political interference .	what was one proposal to let the ipcc respond to new evidence faster ?	what was one of the suggestions made by the climate scientists ?	1.0	1.0	1.0	0.3333333333333333
the variant forms of the name of the rhine in modern languages are all derived from the gaulish name rēnos , which was adapted in roman-era geography ( 1st century bc ) as greek ῥῆνος ( rhēnos ) , latin rhenus . [ note 3 ] the spelling with rh- in english rhine as well as in german rhein and french rhin is due to the influence of greek orthography , while the vocalisation -i- is due to the proto-germanic adoption of the gaulish name as *  rīnaz   , via old frankish giving old english rín , old high german rīn , dutch rijn ( formerly also spelled rhijn ) ) . the diphthong in modern german rhein ( also adopted in romansh rein , rain ) is a central german development of the early modern period , the alemannic name rī ( n ) retaining the older vocalism , [ note 4 ] as does ripuarian rhing , while palatine has diphthongized rhei , rhoi . spanish is with french in adopting the germanic vocalism rin- , while italian , occitan and portuguese retain the latin ren- .	what is the proto-germanic adaptation of the name of the rhine ?	what did the proto - germanic adopt the gaulish name as ?	0.8333333333333334	1.0	1.0	0.3333333333333333
well represented in the collection is meissen porcelain , from the first factory in europe to discover the chinese method of making porcelain . among the finest examples are the meissen vulture from 1731 and the möllendorff dinner service , designed in  1762   by frederick ii the great . ceramics from the manufacture nationale de sèvres are extensive , especially from the 18th and 19th centuries . the collection of 18th-century british porcelain is the largest and finest in the world . examples from every factory are represented , the collections of chelsea porcelain and worcester porcelain being especially fine . all the major 19th-century british factories are also represented . a major boost to the collections was the salting bequest made in 1909 , which enriched the museum 's stock of chinese and japanese ceramics . this bequest forms part of the finest collection of east asian pottery and porcelain in the world , including kakiemon ware .	in which year was möllendorff dinner service designed ?	in what year was the mollendorff dinner service designed ?	1.0	1.0	1.0	1.0
tvontario picked up the show in 1976 beginning with  the three doctors   and aired each series ( several years late ) through to series 24 in 1991. from 1979 to 1981 , tvo airings were bookended by science-fiction writer judith merril who would introduce the episode and then , after the episode concluded , try to place it in an educational context in keeping with tvo 's status as an educational channel . its airing of the talons of weng-chiang was cancelled as a result of accusations that the story was racist ; the story was later broadcast in the 1990s on cable station ytv . cbc began showing the series again in 2005. the series moved to the canadian cable channel space in 2009 . [ citation needed ]	what was the first doctor who show that tvontario ran ?	what was the name of the first tvontario series ?	1.0	1.0	0.6666666666666666	0.5
when yesün temür died in shangdu in 1328 , tugh temür was recalled to khanbaliq by the qipchaq commander el temür . he was installed as the emperor ( emperor wenzong ) in khanbaliq , while yesün temür 's son ragibagh succeeded to the throne in shangdu with the support of yesün temür 's favorite retainer dawlat shah . gaining support from princes and officers in northern china and some other parts of the dynasty , khanbaliq-based tugh temür eventually won the civil war against ragibagh known as the war of the two capitals . afterwards , tugh temür abdicated in favour of his brother kusala , who was backed by chagatai khan eljigidey , and announced khanbaliq 's intent to welcome him . however , kusala suddenly died only  four days   after a banquet with tugh temür . he was supposedly killed with poison by el temür , and tugh temür then remounted the throne . tugh temür also managed to send delegates to the western mongol khanates such as golden horde and ilkhanate to be accepted as the suzerain of mongol world . however , he was mainly a puppet of the powerful official el temür during his latter three-year reign . el temür purged pro-kusala officials and brought power to warlords , whose despotic rule clearly marked the decline of the dynasty .	how long after a banquet with tugh temur did kusala die ?	how long after a banquet did kusala die ?	0.8333333333333334	1.0	1.0	0.8333333333333334
aristotle provided a philosophical discussion of the concept of a force as an integral part of aristotelian cosmology . in aristotle 's view , the terrestrial sphere contained  four   elements that come to rest at different " natural places " therein . aristotle believed that motionless objects on earth , those composed mostly of the elements earth and water , to be in their natural place on the ground and that they will stay that way if left alone . he distinguished between the innate tendency of objects to find their " natural place " ( e.g. , for heavy bodies to fall ) , which led to " natural motion " , and unnatural or forced motion , which required continued application of a force . this theory , based on the everyday experience of how objects move , such as the constant application of a force needed to keep a cart moving , had conceptual trouble accounting for the behavior of projectiles , such as the flight of arrows . the place where the archer moves the projectile was at the start of the flight , and while the projectile sailed through the air , no discernible efficient cause acts on it . aristotle was aware of this problem and proposed that the air displaced through the projectile 's path carries the projectile to its target . this explanation demands a continuum like air for change of place in general .	how many elements did aristotle believe the terrestrial sphere to be made up of ?	how many elements did aristotle believe were in the terrestrial sphere ?	1.0	1.0	1.0	1.0
an islamist movement influenced by salafism and the jihad in afghanistan , as well as the muslim brotherhood , was the fis or front islamique de salut ( the islamic salvation front ) in algeria . founded as a broad islamist coalition in 1989 it was led by abbassi madani , and a charismatic islamist young preacher , ali belhadj . taking advantage of economic failure and unpopular social liberalization and secularization by the ruling leftist-nationalist fln government , it used its preaching to advocate the establishment of a legal system following sharia law , economic liberalization and development program , education in arabic rather than french , and gender segregation , with women  staying home   to alleviate the high rate of unemployment among young algerian men . the fis won sweeping victories in local elections and it was going to win national elections in 1991 when voting was canceled by a military coup d'état .	one of fis ' agenda items was to force women to start doing what ?	what did women do to help alleviate the high rate of unemployment ?	1.0	1.0	1.0	0.16666666666666666
between bingen and bonn , the middle rhine flows through the rhine gorge , a formation which was created by erosion . the rate of erosion equaled the uplift in the region , such that the river was left at about its original level while the surrounding lands raised . the gorge is quite deep and is the stretch of the river which is known for its many castles and vineyards . it is a unesco world heritage site ( 2002 ) and known as " the  romantic rhine   " , with more than 40 castles and fortresses from the middle ages and many quaint and lovely country villages .	what is the section of the rhine gorge recognized by unesco called ?	what is another name for the rhine gorge ?	1.0	1.0	1.0	0.5
helper t cells express t cell receptors ( tcr ) that recognize antigen bound to class ii mhc molecules . the mhc : antigen complex is also recognized by the helper cell 's cd4 co-receptor , which recruits molecules inside the t cell ( e.g. , lck ) that are responsible for the t cell 's activation . helper t cells have a weaker association with the mhc : antigen complex than observed for killer t cells , meaning many receptors ( around 200–300 ) on the helper t cell must be bound by an mhc : antigen in order to activate the helper cell , while killer t cells can be activated by engagement of a single mhc : antigen molecule . helper t cell activation also requires longer duration of engagement with an antigen-presenting cell . the activation of a resting helper t cell causes it to release cytokines that influence the activity of many cell types . cytokine signals produced by helper t cells enhance the microbicidal function of macrophages and the activity of killer t cells . in addition , helper t cell activation causes an upregulation of molecules expressed on the t cell 's surface , such as  cd40 ligand   ( also called cd154 ) , which provide extra stimulatory signals typically required to activate antibody-producing b cells .	what is a ligand on the cell surface that is upregulated after helper t cell activation ?	what is another name for cd154 ?	1.0	1.0	1.0	0.0
in many parts of the united states , after the 1954 decision in the landmark court case brown v. board of education of topeka that demanded united states schools desegregate " with all deliberate speed " , local families organized a wave of private " christian academies " . in much of the u.s.  south   , many white students migrated to the academies , while public schools became in turn more heavily concentrated with african-american students ( see list of private schools in mississippi ) . the academic content of the academies was usually college preparatory . since the 1970s , many of these " segregation academies " have shut down , although some continue to operate . [ citation needed ]	in what part of the united states did many students migrate to christian academies during the desegregation period ?	in what part of the u . s . did many white students migrate to christian academies ?	0.8333333333333334	1.0	1.0	0.6666666666666666
in the u.s. federal health care system ( including the va , the indian health service , and nih ) ambulatory care pharmacists are given full independent prescribing authority . in some states such north carolina and new mexico these pharmacist clinicians are given collaborative prescriptive and diagnostic authority . in  2011   the board of pharmaceutical specialties approved ambulatory care pharmacy practice as a separate board certification . the official designation for pharmacists who pass the ambulatory care pharmacy specialty certification exam will be board certified ambulatory care pharmacist and these pharmacists will carry the initials bcacp .	when was ambulatory care pharmacy approved as its own certification ?	in what year did the board of pharmaceutical specialties approve ambulatory care pharmacy practice ?	1.0	1.0	1.0	0.6666666666666666
the city of bukhara was not heavily fortified , with a moat and a single wall , and the citadel typical of khwarezmi cities . the city leaders opened the gates to the mongols , though a unit of turkish defenders held the city 's citadel for another twelve days . survivors from the citadel were executed , artisans and craftsmen were sent back to mongolia ,  young men who had not fought   were drafted into the mongolian army and the rest of the population was sent into slavery . as the mongol soldiers looted the city , a fire broke out , razing most of the city to the ground . genghis khan had the city 's surviving population assemble in the main mosque of the town , where he declared that he was the flail of god , sent to punish them for their sins .	who among the population of bukhara became part of the mongolian army ?	who was drafted into the mongolian army ?	1.0	1.0	1.0	0.6666666666666666
harvard 's athletic rivalry with yale is intense in every sport in which they meet , coming to a climax each fall in the annual football meeting , which dates back to 1875 and is usually called simply " the game " . while harvard 's football team is no longer one of the country 's best as it often was a century ago during football 's early days ( it won the rose bowl in 1920 ) , both it and yale have influenced the way the game is played . in 1903 , harvard stadium introduced a new era into football with the first-ever permanent reinforced concrete stadium of its kind in the country . the stadium 's structure actually played a role in the evolution of the college game . seeking to reduce the alarming number of deaths and serious injuries in the sport , walter camp ( former captain of the yale football team ) , suggested widening the field to open up the game . but the stadium was too narrow to accommodate a wider playing surface . so , other steps had to be taken . camp would instead support revolutionary new rules for the  1906   season . these included legalizing the forward pass , perhaps the most significant rule change in the sport 's history .	in what year was a set of significant rule changes introduced including the forward pass ?	in what year did walter camp support revolutionary new rules for the football game ?	1.0	1.0	1.0	0.16666666666666666
daniel burke departed from capital cities/abc in february 1994 , with thomas murphy taking over as president before ceding control to robert iger . september 1994 saw the debut of  nypd blue   , a gritty police procedural from steven bochco ( who created doogie howser , m.d . and the critically pilloried cop rock for abc earlier in the decade ) ; lasting ten seasons , the drama became known for its boundary pushing of network television standards ( particularly its occasional use of graphic language and rear nudity ) , which led some affiliates to initially refuse to air the show in its first season .	what crime drama debuted on abc in september 1994 ?	what was the name of steven bochco ' s police procedural ?	0.8333333333333334	1.0	1.0	0.16666666666666666
the collection of drawings includes  over 10,000   british and 2,000 old master works , including works by : dürer , giovanni benedetto castiglione , bernardo buontalenti , rembrandt , antonio verrio , paul sandby , john russell , angelica kauffman , john flaxman , hugh douglas hamilton , thomas rowlandson , william kilburn , thomas girtin , jean auguste dominique ingres , david wilkie , john martin , samuel palmer , sir edwin henry landseer , lord frederic leighton , sir samuel luke fildes and aubrey beardsley . modern british artists represented in the collection include : paul nash , percy wyndham lewis , eric gill , stanley spencer , john piper , graham sutherland , lucian freud and david hockney .	approximately how many british drawings are included in the v & a collection ?	how many british and 2 , 000 old master works are in the collection ?	0.6666666666666666	1.0	1.0	0.6666666666666666
in september 1760 , and before any hostilities erupted , governor vaudreuil negotiated from montreal a capitulation with  general amherst .   amherst granted vaudreuil 's request that any french residents who chose to remain in the colony would be given freedom to continue worshiping in their roman catholic tradition , continued ownership of their property , and the right to remain undisturbed in their homes . the british provided medical treatment for the sick and wounded french soldiers and french regular troops were returned to france aboard british ships with an agreement that they were not to serve again in the present war .	what british general negotiated at montreal ?	who did governor vaudreuil negotiate a capitulation with ?	1.0	1.0	1.0	0.3333333333333333
past faculty have also included egyptologist james henry breasted , mathematician alberto calderón , nobel prize winning economist and classical liberalism defender friedrich hayek , meteorologist ted fujita , chemists glenn t. seaborg , the developer of the actinide concept and nobel prize winner yuan t. lee , nobel prize winning novelist saul bellow , political philosopher and author allan bloom , cancer researchers  charles brenton huggins and janet rowley   , astronomer gerard kuiper , one of the most important figures in the early development of the discipline of linguistics edward sapir , and the founder of mckinsey & co. , james o. mckinsey .	what cancer researchers were also apart of the university 's faculty ?	who are two cancer researchers from the university of washington ?	1.0	0.6666666666666666	0.3333333333333333	0.16666666666666666
the final years of the yuan dynasty were marked by struggle , famine , and bitterness among the populace . in time , kublai khan 's successors lost all influence on other mongol lands across asia , while the  mongols beyond the middle kingdom saw them as too chinese   . gradually , they lost influence in china as well . the reigns of the later yuan emperors were short and marked by intrigues and rivalries . uninterested in administration , they were separated from both the army and the populace , and china was torn by dissension and unrest . outlaws ravaged the country without interference from the weakening yuan armies .	why did kublai 's successors lose control of the rest of the mongol empire ?	why did the mongols lose influence in china ?	1.0	1.0	1.0	0.5
the image of the tardis has become firmly linked to the show in the public 's consciousness ; bbc scriptwriter anthony coburn , who lived in the resort of herne bay , kent , was one of the people who conceived the idea of a police box as a time machine . in 1996 , the bbc applied for a trade mark to use the tardis ' blue police box design in merchandising associated with doctor who . in 1998 , the metropolitan police authority filed an objection to the trade mark claim ; but in  2002   , the patent office ruled in favour of the bbc .	when did the bbc receive a favorable ruling on the trade mark claim ?	in what year did the patent office rule in favor of the bbc ?	1.0	1.0	1.0	0.6666666666666666
the jewellery collection , containing over 6000 items is one of the finest and most comprehensive collections of jewellery in the world and includes works dating from ancient egypt to the present day , as well as jewellery designs on paper . the museum owns pieces by renowned jewelers cartier , jean schlumberger , peter carl fabergé , hemmerle and lalique . other items in the collection include diamond dress ornaments made for catherine the great , bracelet clasps once belonging to marie antoinette , and the beauharnais emerald necklace presented by napoleon to his adopted daughter hortense de beauharnais in 1806. the museum also collects international modern jewellery by designers such as gijs bakker , onno boekhoudt , peter chang , gerda flockinger , lucy sarneel , dorothea prühl and wendy ramshaw , and african and asian traditional jewellery . major bequests include reverend chauncy hare townshend 's collection of 154 gems bequeathed in 1869 , lady cory 's 1951 gift of major diamond jewellery from the 18th and 19th centuries , and jewellery scholar dame joan evans ' 1977 gift of more than 800 jewels dating from the middle ages to the early 19th century . a new jewellery gallery , funded by  william and judith bollinger   , opened on 24 may 2008 .	who funded the new jewelry gallery that opened in 2008 ?	who funded the new jewellery gallery ?	1.0	1.0	1.0	0.6666666666666666
the quick and decisive defeat of the arab troops during the six-day war by israeli troops constituted a pivotal event in the arab muslim world . the defeat along with  economic   stagnation in the defeated countries , was blamed on the secular arab nationalism of the ruling regimes . a steep and steady decline in the popularity and credibility of secular , socialist and nationalist politics ensued . ba'athism , arab socialism , and arab nationalism suffered , and different democratic and anti-democratic islamist movements inspired by maududi and sayyid qutb gained ground .	secular arab nationalism was blamed for both the defeat of arab troops as well as what type of stagnation ?	what type of stagnation resulted from the defeat of the arab troops ?	1.0	1.0	0.6666666666666666	0.5
because of the complexity of medications including specific indications ,  effectiveness of treatment regimens   , safety of medications ( i.e. , drug interactions ) and patient compliance issues ( in the hospital and at home ) many pharmacists practicing in hospitals gain more education and training after pharmacy school through a pharmacy practice residency and sometimes followed by another residency in a specific area . those pharmacists are often referred to as clinical pharmacists and they often specialize in various disciplines of pharmacy . for example , there are pharmacists who specialize in hematology/oncology , hiv/aids , infectious disease , critical care , emergency medicine , toxicology , nuclear pharmacy , pain management , psychiatry , anti-coagulation clinics , herbal medicine , neurology/epilepsy management , pediatrics , neonatal pharmacists and more .	what is one issue that adds to the complexity of a pharmacist 's job ?	along with specific indications , safety of medications and patient compliance issues , what is one of the complexity of medications ?	1.0	1.0	1.0	0.3333333333333333
while qutb 's ideas became increasingly radical during his imprisonment prior to his execution in 1966 , the leadership of  the brotherhood   , led by hasan al-hudaybi , remained moderate and interested in political negotiation and activism . fringe or splinter movements inspired by the final writings of qutb in the mid-1960s ( particularly the manifesto milestones , a.k.a . ma'alim fi-l-tariq ) did , however , develop and they pursued a more radical direction . by the 1970s ,  the brotherhood   had renounced violence as a means of achieving its goals .	what organization was led by hasan al-hudaybi ?	what group did hasan al - hudaybi lead ?	1.0	1.0	1.0	1.0
philosophers in antiquity used the concept of force in the study of stationary and moving objects and simple machines , but thinkers such as aristotle and archimedes retained fundamental errors in understanding force . in part this was due to an incomplete understanding of the sometimes non-obvious force of friction , and a consequently inadequate view of the nature of natural motion . a fundamental error was the belief that a force is required to maintain motion , even at a constant velocity . most of the previous misunderstandings about motion and force were eventually corrected by galileo galilei and  sir isaac newton   . with his mathematical insight ,  sir isaac newton   formulated laws of motion that were not improved-on for nearly three hundred years . by the early 20th century , einstein developed a theory of relativity that correctly predicted the action of forces on objects with increasing momenta near the speed of light , and also provided insight into the forces produced by gravitation and inertia .	who had mathmatical insite ?	who formulated laws of motion that were not improved on for nearly three hundred years ?	1.0	1.0	1.0	0.0
are prime . prime numbers of this form are known as factorial primes . other primes where either p + 1 or p − 1 is of a particular shape include the sophie germain primes ( primes of the form  2p + 1   with p prime ) , primorial primes , fermat primes and mersenne primes , that is , prime numbers that are of the form 2p − 1 , where p is an arbitrary prime . the lucas–lehmer test is particularly fast for numbers of this form . this is why the largest known prime has almost always been a mersenne prime since the dawn of electronic computers .	of what form are sophie germain primes ?	what form are sophie germain primes ?	1.0	1.0	1.0	1.0
the united methodist church ( umc ) practices infant and adult baptism . baptized members are those who have been baptized as an infant or child , but who have not subsequently professed their own faith . these baptized members become professing members through confirmation and sometimes the profession of faith . individuals who were not previously baptized are baptized as part of their profession of faith and thus become professing members in this manner . individuals may also become a professing member through  transfer from another christian denomination   .	name one way in which a person can become a professing member ?	how can an individual become a professing member of the umc ?	1.0	1.0	1.0	0.5
parliamentary time is also set aside for question periods in the debating chamber . a " general question time " takes place on a  thursday   between 11:40 a.m. and 12 p.m. where members can direct questions to any member of the scottish government . at 2.30pm , a 40-minute long themed " question time " takes place , where members can ask questions of ministers in departments that are selected for questioning that sitting day , such as health and justice or education and transport . between 12 p.m. and 12:30 p.m. on  thursday  s , when parliament is sitting , first minister 's question time takes place . this gives members an opportunity to question the first minister directly on issues under their jurisdiction . opposition leaders ask a general question of the first minister and then supplementary questions . such a practice enables a " lead-in " to the questioner , who then uses their supplementary question to ask the first minister any issue . the four general questions available to opposition leaders are :	on what day does a general question time take place ?	on what day of the week is a " general question time " held ?	1.0	1.0	1.0	1.0
